"","taxon","latitude","longitude","type"
"1","Cucurbita_cordata",28.9547,-113.5625,"G"
"2","Cucurbita_cordata",24.2857661,-111.0109816,"H"
"3","Cucurbita_cordata",25.9346977,-111.5421361,"H"
"4","Cucurbita_cordata",25.947488,-111.7300052,"H"
"5","Cucurbita_cordata",25.9576506,-111.4609177,"H"
"6","Cucurbita_cordata",26.206709,-111.617512,"H"
"7","Cucurbita_cordata",26.456451,-111.648485,"H"
"8","Cucurbita_cordata",26.802645,-112.0622982,"H"
"9","Cucurbita_cordata",26.9105096,-112.045061,"H"
"10","Cucurbita_cordata",26.9107262,-112.9822799,"H"
"11","Cucurbita_cordata",26.9156916,-113.7368987,"H"
"12","Cucurbita_cordata",27.015153,-114.042982,"H"
"13","Cucurbita_cordata",27.164634,-113.4654046,"H"
"14","Cucurbita_cordata",27.2762613,-113.191559,"H"
"15","Cucurbita_cordata",27.424452,-113.4380353,"H"
"16","Cucurbita_cordata",27.8434911,-114.0275069,"H"
"17","Cucurbita_cordata",28.0066751,-113.873446,"H"
"18","Cucurbita_cordata",28.1474165,-113.6345345,"H"
"19","Cucurbita_cordata",28.516667,-113.75,"H"
"20","Cucurbita_cordata",28.744103,-113.753451,"H"
"21","Cucurbita_cordata",28.744103,-113.753451,"H"
"22","Cucurbita_cordata",28.744103,-113.753451,"H"
"23","Cucurbita_cordata",28.7700513,-113.4871398,"H"
"24","Cucurbita_cordata",30.5622903,-115.0077914,"H"
"25","Cucurbita_cordata",31.666667,-115.95,"H"
"26","Cucurbita_cordata",25.916667,-111.466667,"H"
"27","Cucurbita_cordata",28.14,-113.25,"H"
"28","Cucurbita_cordata",23.226944,-109.9625,"H"
"29","Cucurbita_cordata",24.0434888,-110.4315463,"H"
"30","Cucurbita_cordata",25.916667,-111.391667,"H"
"31","Cucurbita_cordata",27.091667,-112.325,"H"
"32","Cucurbita_cordata",27.691667,-113.025,"H"
"33","Cucurbita_cordata",24.141667,-110.841667,"H"
"34","Cucurbita_cordata",24.875,-110.975,"H"
"35","Cucurbita_cordata",25.491667,-111.925,"H"
"36","Cucurbita_cordata",25.903333,-111.368889,"H"
"37","Cucurbita_cordata",25.9484161,-111.4969647,"H"
"38","Cucurbita_cordata",26.260556,-112.473333,"H"
"39","Cucurbita_cordata",26.296936,-112.530679,"H"
"40","Cucurbita_cordata",26.875,-111.941667,"H"
"41","Cucurbita_cordata",27.303333,-112.902778,"H"
"42","Cucurbita_cordata",27.341667,-112.291667,"H"
"43","Cucurbita_cordata",27.491667,-113.308333,"H"
"44","Cucurbita_cordata",28.091667,-113.591667,"H"
"45","Cucurbita_cordata",28.241667,-113.408333,"H"
"46","Cucurbita_cordata",28.261111,-113.874722,"H"
"47","Cucurbita_cordata",28.375,-113.508333,"H"
"48","Cucurbita_cordata",28.391667,-113.325,"H"
"49","Cucurbita_cordata",28.758333,-113.616667,"H"
"50","Cucurbita_cordata",29.358333,-114.425,"H"
"51","Cucurbita_cordata",31.641667,-116.025,"H"
"52","Cucurbita_cordata",32.375,-117.091667,"H"
"53","Cucurbita_cordata",23.058333,-110.025,"H"
"54","Cucurbita_cordata",23.4513848,-109.9279362,"H"
"55","Cucurbita_cordata",25.925,-111.958333,"H"
"56","Cucurbita_cordata",27.291667,-112.825,"H"
"57","Cucurbita_cordata",27.608333,-113.075,"H"
"58","Cucurbita_cordata",26,-111.35,"H"
"59","Cucurbita_cordata",28.641697,-114.023861,"H"
"60","Cucurbita_cordata",28.643889,-114.046389,"H"
"61","Cucurbita_cordata",23.375,-109.775,"H"
"62","Cucurbita_cordata",23.608333,-110.108333,"H"
